slug,authority,official_url,fee,exam_format,eligibility,frequency,pass_rate,source_checked_at,name,major_category,type,search_query
c-4323,,,,,,,,,ブライダルプランナー検定1級,美容・サービス・スポーツ,要確認,ブライダルプランナー検定1級 受験料 受験資格 公式
c-4324,,,,,,,,,ブライダルプランナー検定2級,美容・サービス・スポーツ,要確認,ブライダルプランナー検定2級 受験料 受験資格 公式
c-4322,,,,,,,,,旧ブライダルコーディネーター検定,美容・サービス・スポーツ,要確認,旧ブライダルコーディネーター検定 受験料 受験資格 公式
c-2909,,,,,,,,,社会体育指導者(商業スポーツ指導)(上級),美容・サービス・スポーツ,要確認,社会体育指導者(商業スポーツ指導)(上級) 受験料 受験資格 公式
c-2908,,,,,,,,,社会体育指導者(商業スポーツ指導)(中級),美容・サービス・スポーツ,要確認,社会体育指導者(商業スポーツ指導)(中級) 受験料 受験資格 公式
c-2907,,,,,,,,,社会体育指導者(商業スポーツ指導)(初級),美容・サービス・スポーツ,要確認,社会体育指導者(商業スポーツ指導)(初級) 受験料 受験資格 公式
c-2903,,,,,,,,,社会体育指導者(地域スポーツ指導者)(上級),美容・サービス・スポーツ,要確認,社会体育指導者(地域スポーツ指導者)(上級) 受験料 受験資格 公式
c-2902,,,,,,,,,社会体育指導者(地域スポーツ指導者)(中級),美容・サービス・スポーツ,要確認,社会体育指導者(地域スポーツ指導者)(中級) 受験料 受験資格 公式
c-2901,,,,,,,,,社会体育指導者(地域スポーツ指導者)(初級),美容・サービス・スポーツ,要確認,社会体育指導者(地域スポーツ指導者)(初級) 受験料 受験資格 公式
c-2906,,,,,,,,,社会体育指導者(競争力向上指導者)(上級),美容・サービス・スポーツ,要確認,社会体育指導者(競争力向上指導者)(上級) 受験料 受験資格 公式
c-2905,,,,,,,,,社会体育指導者(競争力向上指導者)(中級),美容・サービス・スポーツ,要確認,社会体育指導者(競争力向上指導者)(中級) 受験料 受験資格 公式
c-2904,,,,,,,,,社会体育指導者(競争力向上指導者)(初級),美容・サービス・スポーツ,要確認,社会体育指導者(競争力向上指導者)(初級) 受験料 受験資格 公式
c-4314,,,,,,,,,総合旅程管理主任者,美容・サービス・スポーツ,要確認,総合旅程管理主任者 受験料 受験資格 公式
